Id,y
50100,2.0270210997467495
50101,1.9718005827828802
50102,1.7608874136509136
50103,2.0182714945434195
50104,1.7486066524431514
50105,1.6432980200532823
50106,1.959836025882702
50107,2.234164737467255
50108,2.0417402322324105
50109,1.7429694448870532
50110,1.7119513092413592
50111,1.8585732182910544
50112,1.6113528182084513
50113,1.5484024452151761
50114,1.7080491528581871
50115,1.8006671351470465
50116,1.6598077128143032
50117,1.8620021669063826
50118,2.1560356285247773
50119,1.7099315233071448
50120,1.868325471281947
50121,2.3173863837977864
50122,1.3982908183983616
50123,2.1178651533048165
50124,1.580323416206572
50125,2.0635769803047963
50126,1.6810967781998811
50127,1.9774225684646392
50128,1.6546003214496754
50129,1.958741497181962
50130,1.760501802528982
50131,2.137748035332964
50132,1.7210283699344582
50133,1.809254453515489
50134,1.9727388505575398
50135,1.9799841678144097
50136,1.7561082999435564
50137,2.0074975544686775
50138,1.5016511826008265
50139,1.879480122932657
50140,2.0190393610978465
50141,2.1598439553470605
50142,1.9013175879867674
50143,1.7228258549983972
50144,1.9454185860702486
50145,1.9414292489871918
50146,1.8604762018633914
50147,2.1650411709192814
50148,2.036067161470116
50149,1.4541808418421438
50150,1.6337721127238396
50151,1.6702734074285508
50152,1.5641781002362884
50153,1.9521395595811548
50154,1.9577472770455153
50155,2.110211148208887
50156,2.1985624055679978
50157,1.2121888714711866
50158,2.1139888821379875
50159,1.3169321475633478
50160,1.8789656039747478
50161,1.9710240466182787
50162,2.004560184397623
50163,1.8172821023266073
50164,1.7299321309833249
50165,1.699022578615138
50166,1.6595293973918381
50167,1.9068851043006363
50168,1.8345791504410978
50169,1.358962910447533
50170,1.811481394231061
50171,1.9356908859552981
50172,1.832602817662436
50173,1.8503373591855474
50174,2.064607476147231
50175,1.659466672010146
50176,2.1213788545709256
50177,1.9995450373645327
50178,2.1757106480225574
50179,1.6676286910230063
50180,2.0766107256883073
50181,1.7612734677954975
50182,1.9920549324586687
50183,1.5543107311040911
50184,2.166903281359112
50185,1.7305886664510903
50186,1.958507872379873
50187,2.3178488499364716
50188,1.9536846228180946
50189,2.161298236404556
50190,2.074174142264394
50191,1.9586042843263893
50192,2.0023793922991717
50193,2.041550544944494
50194,1.910866803222091
50195,1.727931370815678
50196,2.166449186327176
50197,1.9482838725607137
50198,1.923259109259088
50199,2.285554951719414
50200,1.7983664292479302
50201,2.23923834796312
50202,1.6681172964467845
50203,1.8682600843522232
50204,1.6732669615063307
50205,1.4467821258679923
50206,1.7410708179575725
50207,1.9495391333911145
50208,2.0503776784119543
50209,1.7316099047044795
50210,1.9682385608893795
50211,1.5208714386760132
50212,1.8847645339760204
50213,2.231293143261596
50214,1.8234229167339315
50215,1.6399759461748997
50216,1.5026469366320174
50217,1.726800890910735
50218,1.7139601896147165
50219,2.1257085854884905
50220,2.024458859175887
50221,2.1566172826989485
50222,2.0212266158122922
50223,1.8445570146522174
50224,1.3848819018362817
50225,2.011210388091926
50226,1.906283438806413
50227,2.175230766770121
50228,1.6757160685112722
50229,1.9880754200201682
50230,1.9293610952555116
50231,1.7521485983148382
50232,2.0202369083345655
50233,2.2516676697024725
50234,1.5834038668441484
50235,1.7225062689825692
50236,1.6340530552066277
50237,1.752305045464694
50238,1.7366827898776789
50239,2.013688634969742
50240,2.0357095082632437
50241,1.3791843598252982
50242,2.0211798883062357
50243,1.7945027961485513
50244,1.4488161544953275
50245,1.9059036037037642
50246,2.0487433828024786
50247,1.2968420590045748
50248,2.3735054423264677
50249,2.193239241497552
50250,2.081583207349612
50251,1.9602767037151765
50252,2.266539188013356
50253,2.0225473159017344
50254,1.7096256384968174
50255,1.8182944362035909
50256,2.0931519954743183
50257,1.9007665390071724
50258,1.5864930537784003
50259,2.0375548327103505
50260,1.146584995686827
50261,2.140296007803381
50262,1.719869709676385
50263,1.8610630100921575
50264,1.4008202468829127
50265,1.8905464508523988
